k,gain,policy_samples
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,3.0588936890535683,0
1,1.8365012677171202,1
1,1.8365012677171202,2
1,1.8365012677171202,3
1,1.8365012677171202,4
1,1.6438561897747244,5
1,1.6438561897747244,6
1,1.4739311883324122,7
1,1.4739311883324122,8
1,1.4739311883324122,9
1,1.4739311883324122,0
1,1.0588936890535683,1
1,1.0588936890535683,2
1,1.0588936890535683,3
1,1.0588936890535683,4
1,1.0588936890535683,5
1,1.0588936890535683,6
1,1.0588936890535683,7
1,1.0588936890535683,8
1,1.0588936890535683,9
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,2.6438561897747244,0
1,2.321928094887362,1
1,2.0588936890535683,2
1,2.0588936890535683,3
1,1.6438561897747244,4
1,1.4739311883324122,5
1,1.4739311883324122,6
1,1.4739311883324122,7
1,1.4739311883324122,8
1,1.4739311883324122,9
1,1.184424571137427,0
1,1.0588936890535683,1
1,1.0588936890535683,2
1,1.0588936890535683,3
1,1.0588936890535683,4
1,1.0588936890535683,5
1,1.0588936890535683,6
1,1.0588936890535683,7
1,1.0588936890535683,8
1,1.0588936890535683,9
1,0.7369655941662057,0
1,0.7369655941662057,1
1,0.7369655941662057,2
1,0.7369655941662057,3
1,0.7369655941662057,4
1,0.7369655941662057,5
1,0.7369655941662057,6
1,0.7369655941662057,7
1,0.7369655941662057,8
1,0.7369655941662057,9
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,1.3219280948873622,0
1,1.0588936890535683,1
1,1.0588936890535683,2
1,1.0588936890535683,3
1,1.0588936890535683,4
1,1.0588936890535683,5
1,1.0588936890535683,6
1,1.0588936890535683,7
1,1.0588936890535683,8
1,1.0588936890535683,9
2,0.7369655941662057,0
2,0.7369655941662057,1
2,0.7369655941662057,2
2,0.7369655941662057,3
2,0.7369655941662057,4
2,0.7369655941662057,5
2,0.7369655941662057,6
2,0.7369655941662057,7
2,0.7369655941662057,8
2,0.7369655941662057,9
2,3.6438561897747244,0
2,2.6438561897747244,1
2,2.6438561897747244,2
2,2.6438561897747244,3
2,2.6438561897747244,4
2,2.321928094887362,5
2,2.321928094887362,6
2,2.321928094887362,7
2,2.321928094887362,8
2,2.321928094887362,9
2,1.4739311883324122,0
2,1.0588936890535683,1
2,1.0588936890535683,2
2,1.0588936890535683,3
2,1.0588936890535683,4
2,1.0588936890535683,5
2,1.0588936890535683,6
2,1.0588936890535683,7
2,1.0588936890535683,8
2,1.0588936890535683,9
2,1.6438561897747244,0
2,1.4739311883324122,1
2,1.4739311883324122,2
2,1.4739311883324122,3
2,1.4739311883324122,4
2,1.4739311883324122,5
2,1.4739311883324122,6
2,1.4739311883324122,7
2,1.4739311883324122,8
2,1.4739311883324122,9
2,1.3219280948873622,0
2,1.0588936890535683,1
2,1.0588936890535683,2
2,1.0588936890535683,3
2,1.0588936890535683,4
2,1.0588936890535683,5
2,1.0588936890535683,6
2,1.0588936890535683,7
2,1.0588936890535683,8
2,1.0588936890535683,9
2,4.643856189774724,0
2,4.643856189774724,1
2,3.6438561897747244,2
2,3.6438561897747244,3
2,3.0588936890535683,4
2,3.0588936890535683,5
2,2.6438561897747244,6
2,2.6438561897747244,7
2,2.6438561897747244,8
2,2.6438561897747244,9
2,2.0588936890535683,0
2,2.0588936890535683,1
2,2.0588936890535683,2
2,2.0588936890535683,3
2,2.0588936890535683,4
2,2.0588936890535683,5
2,2.0588936890535683,6
2,2.0588936890535683,7
2,2.0588936890535683,8
2,2.0588936890535683,9
2,0.0,0
2,4.643856189774724,1
2,4.643856189774724,2
2,4.643856189774724,3
2,4.643856189774724,4
2,3.6438561897747244,5
2,3.6438561897747244,6
2,3.0588936890535683,7
2,3.0588936890535683,8
2,3.0588936890535683,9
2,0.6438561897747244,0
2,0.6438561897747244,1
2,0.6438561897747244,2
2,0.6438561897747244,3
2,0.6438561897747244,4
2,0.6438561897747244,5
2,0.6438561897747244,6
2,0.6438561897747244,7
2,0.6438561897747244,8
2,0.6438561897747244,9
