k,gain,policy_samples
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,0.32192809488736174,10
1,0.32192809488736174,11
1,0.32192809488736174,12
1,0.32192809488736174,13
1,0.32192809488736174,14
1,0.32192809488736174,15
1,0.32192809488736174,16
1,0.32192809488736174,17
1,0.32192809488736174,18
1,0.32192809488736174,19
1,0.32192809488736174,20
1,0.32192809488736174,21
1,0.32192809488736174,22
1,0.32192809488736174,23
1,0.32192809488736174,24
1,3.0588936890535683,0
1,1.8365012677171202,1
1,1.8365012677171202,2
1,1.8365012677171202,3
1,1.8365012677171202,4
1,1.6438561897747244,5
1,1.6438561897747244,6
1,1.4739311883324122,7
1,1.4739311883324122,8
1,1.4739311883324122,9
1,1.4739311883324122,10
1,1.4739311883324122,11
1,1.4739311883324122,12
1,1.4739311883324122,13
1,1.4739311883324122,14
1,1.4739311883324122,15
1,1.4739311883324122,16
1,1.4739311883324122,17
1,1.4739311883324122,18
1,1.4739311883324122,19
1,1.4739311883324122,20
1,1.4739311883324122,21
1,1.4739311883324122,22
1,1.4739311883324122,23
1,1.4739311883324122,24
1,1.4739311883324122,0
1,1.0588936890535683,1
1,1.0588936890535683,2
1,1.0588936890535683,3
1,1.0588936890535683,4
1,1.0588936890535683,5
1,1.0588936890535683,6
1,1.0588936890535683,7
1,1.0588936890535683,8
1,1.0588936890535683,9
1,1.0588936890535683,10
1,1.0588936890535683,11
1,1.0588936890535683,12
1,1.0588936890535683,13
1,1.0588936890535683,14
1,1.0588936890535683,15
1,1.0588936890535683,16
1,1.0588936890535683,17
1,1.0588936890535683,18
1,1.0588936890535683,19
1,1.0588936890535683,20
1,1.0588936890535683,21
1,1.0588936890535683,22
1,1.0588936890535683,23
1,1.0588936890535683,24
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,0.32192809488736174,10
1,0.32192809488736174,11
1,0.32192809488736174,12
1,0.32192809488736174,13
1,0.32192809488736174,14
1,0.32192809488736174,15
1,0.32192809488736174,16
1,0.32192809488736174,17
1,0.32192809488736174,18
1,0.32192809488736174,19
1,0.32192809488736174,20
1,0.32192809488736174,21
1,0.32192809488736174,22
1,0.32192809488736174,23
1,0.32192809488736174,24
1,0.32192809488736174,0
1,0.32192809488736174,1
1,0.32192809488736174,2
1,0.32192809488736174,3
1,0.32192809488736174,4
1,0.32192809488736174,5
1,0.32192809488736174,6
1,0.32192809488736174,7
1,0.32192809488736174,8
1,0.32192809488736174,9
1,0.32192809488736174,10
1,0.32192809488736174,11
1,0.32192809488736174,12
1,0.32192809488736174,13
1,0.32192809488736174,14
1,0.32192809488736174,15
1,0.32192809488736174,16
1,0.32192809488736174,17
1,0.32192809488736174,18
1,0.32192809488736174,19
1,0.32192809488736174,20
1,0.32192809488736174,21
1,0.32192809488736174,22
1,0.32192809488736174,23
1,0.32192809488736174,24
1,2.6438561897747244,0
1,2.321928094887362,1
1,2.0588936890535683,2
1,2.0588936890535683,3
1,1.6438561897747244,4
1,1.4739311883324122,5
1,1.4739311883324122,6
1,1.4739311883324122,7
1,1.4739311883324122,8
1,1.4739311883324122,9
1,1.4739311883324122,10
1,1.4739311883324122,11
1,1.4739311883324122,12
1,1.4739311883324122,13
1,1.4739311883324122,14
1,1.4739311883324122,15
1,1.4739311883324122,16
1,1.4739311883324122,17
1,1.4739311883324122,18
1,1.4739311883324122,19
1,1.4739311883324122,20
1,1.4739311883324122,21
1,1.4739311883324122,22
1,1.4739311883324122,23
1,1.4739311883324122,24
1,1.184424571137427,0
1,1.0588936890535683,1
1,1.0588936890535683,2
1,1.0588936890535683,3
1,1.0588936890535683,4
1,1.0588936890535683,5
1,1.0588936890535683,6
1,1.0588936890535683,7
1,1.0588936890535683,8
1,1.0588936890535683,9
1,1.0588936890535683,10
1,1.0588936890535683,11
1,1.0588936890535683,12
1,1.0588936890535683,13
1,1.0588936890535683,14
1,1.0588936890535683,15
1,1.0588936890535683,16
1,1.0588936890535683,17
1,1.0588936890535683,18
1,1.0588936890535683,19
1,1.0588936890535683,20
1,1.0588936890535683,21
1,1.0588936890535683,22
1,1.0588936890535683,23
1,1.0588936890535683,24
1,0.7369655941662057,0
1,0.7369655941662057,1
1,0.7369655941662057,2
1,0.7369655941662057,3
1,0.7369655941662057,4
1,0.7369655941662057,5
1,0.7369655941662057,6
1,0.7369655941662057,7
1,0.7369655941662057,8
1,0.7369655941662057,9
1,0.7369655941662057,10
1,0.7369655941662057,11
1,0.7369655941662057,12
1,0.7369655941662057,13
