x,y
-1.4077652,-2.023707
0.80996263,2.433435
2.470353,-0.039314926
-0.14295079,-2.846207
-1.3892442,2.1543324
1.2488002,-2.197554
-1.9137437,-1.8875484
-1.6702815,-2.1469188
2.3644767,0.4192618
-0.8100093,-2.5018134
-2.1094875,-1.4439719
2.5430317,-0.3695767
-2.7760956,-0.9188337
2.4689558,0.6879122
2.039411,2.030395
-0.31303912,2.542287
-1.5952741,1.7869331
-1.5899993,-1.9802289
2.6000175,-1.2616155
-1.8200238,1.6531221
1.9559622,-2.1170452
1.3600318,-2.1505356
-0.7461301,2.3760839
-2.0759816,-1.0890855
-2.4674928,-0.75799793
0.018075094,2.4318736
2.1583438,1.713044
2.4175918,0.7784806
-1.619356,1.9286414
-0.5859896,-2.8259985
-0.52437687,2.8235798
-2.948257,0.9476456
0.6883206,2.6525567
-2.3111308,-1.4941075
-2.3632588,1.292594
2.1147017,1.6753187
-2.1646101,-1.0418888
1.2590737,2.3714056
1.0744834,2.4185734
-1.2925234,-1.8097153
-2.157099,-1.5546606
1.2131222,2.2997978
-0.4224056,2.5771885
1.6078415,-1.7515291
1.9065999,1.0277414
1.8553816,-1.7781466
0.18318564,-2.4558358
1.5677769,1.852162
2.5521445,0.37413
-1.4234868,-1.7057496
-0.87037766,2.5334346
-2.0717914,1.7419295
-1.7911046,1.5320393
0.73600286,2.5304613
0.8061596,-2.3973045
-0.38745195,-2.4566607
-2.3910222,-0.35341072
0.40275306,-2.2762039
2.6520364,-0.023979574
2.052223,1.26184
-0.9089124,-2.5547388
-1.9220017,1.964326
2.616832,0.4059765
2.5634253,-0.1551388
-2.3446443,-0.6267555
2.441435,-1.3796465
-2.5878005,1.5136938
-1.1193984,-2.5092125
-0.06828137,-2.615956
0.20797656,2.2354746
1.2419834,2.2979937
0.5060295,2.8434129
-2.4570608,0.011474884
0.05088027,-2.8585167
2.4516065,0.9340148
-0.28340086,2.4769335
2.3744228,-1.0999408
-2.3591628,0.7155106
-2.2444618,1.4479475
-0.5498196,2.8393495
-1.9467033,1.632359
-2.11501,-1.9798199
1.4653437,2.4602299
0.85401785,-2.4966595
-2.808193,-0.23082371
-0.39303437,-2.714505
0.5646626,2.5608132
2.1890292,-1.7123047
2.1013784,-1.4516611
-2.4525516,0.5253305
1.4010569,2.3127773
-2.3147204,1.341764
-0.041255344,2.765536
-2.4601116,0.3204054
-0.55887365,2.5471132
-2.708696,-1.3413684
2.2175405,-0.9342027
-1.3968592,-2.3973732
-2.2607784,1.4813147
-1.6370852,-2.188113
-2.4188614,-1.5834068
2.1533813,-1.8088809
2.3908277,-0.7800496
-2.6284733,-0.94472396
-2.8456326,0.19507763
-1.2541074,2.399046
2.74712,-0.8713367
2.0816438,1.9556562
-1.7034026,-1.9106628
-1.2470822,2.0725584
1.4830998,-2.0126228
-1.037858,2.3137422
1.9825332,1.8075781
1.0980821,-2.4774685
1.3097247,2.293574
0.84497625,-2.087435
-2.3824465,0.58893704
2.059146,-1.7296042
-0.3114109,-2.6588488
-2.3639066,-0.895624
0.5938821,2.2533972
-1.1434877,2.2511928
2.4712555,0.64595926
-1.8703244,1.796445
2.7598097,0.77064586
1.6423129,-1.502824
2.4321332,0.30013207
-1.7141116,2.0019155
-0.9885077,-2.814464
2.2962103,-1.0361133
-2.4206195,-1.3585935
-2.4940443,0.7034642
0.84828377,2.55558
2.579266,-0.060508773
-2.7305067,-0.14982519
2.3617427,1.0092257
1.2931104,2.225394
-2.4948027,-0.7934958
2.435203,-1.0030025
-1.7457306,2.2258322
1.817498,-2.3421826
0.5891297,3.0597322
2.8001842,0.57823277
-2.5712283,-0.45802972
-1.9164972,1.9996998
-1.1570584,2.3210335
-1.681192,-1.8610274
0.48461652,2.453239
2.0930924,1.3049202
0.17279583,-2.644717
1.7815871,1.8983227
-2.571926,0.060070306
0.0148983635,2.5311632
2.5521905,0.39189756
2.4880342,-1.1570927
-1.3487574,-2.3060827
2.8637233,0.7690138
-2.1410136,1.5197672
0.06826988,-2.6581452
1.88831,-1.9122206
-0.8584094,-2.1133044
-0.023504093,2.7095482
1.1693345,-2.2027235
-2.288086,1.0725703
-0.5669723,-2.6605847
0.93690026,-2.4750164
-2.5573049,-0.72917104
-0.8196487,2.5409944
1.8043797,2.041819
2.4161568,0.7161906
2.0503438,-1.7581869
1.7101903,2.2557638
-1.0515276,2.1853662
2.1826963,1.2867699
1.1018593,2.4775958
2.5146086,0.29645434
0.8094999,2.6155813
-1.7974234,1.8999674
-1.3513317,-2.35386
2.7375326,-0.10394588
2.434454,0.788757
-1.6827214,1.8161699
1.9297906,-2.0165856
-2.4441137,0.81876326
1.6136541,1.7665603
-1.6420553,2.0444632
-2.7943487,-0.56760645
-0.38688985,-2.5640378
2.74209,0.6389306
-1.8999611,1.410251
0.15452042,-2.5872796
1.4540211,2.292164
-2.7543073,0.24910146
-2.5781476,-0.10684164
2.90143,0.042934902
-0.23121983,-2.5847664
-0.713767,2.6411986
2.2272477,-1.4176553
-1.1581646,2.4519832
0.7318051,-2.5283663
2.4729354,0.7201717
2.1031754,-1.83261
-1.6347859,2.0254405
-2.4157045,0.6564326
0.38840717,-2.346365
1.7196348,-1.7538112
-2.2601852,0.79856753
-2.2850115,1.131288
-2.6832442,-0.12233537
-2.5227427,-0.6675489
-1.2880341,-2.3464563
0.8593471,-2.7103696
-2.0794969,1.170113
-2.250964,0.8934647
0.9095993,-2.0128365
1.3485662,-2.3527267
1.2590791,1.9307184
-2.5420885,-0.40229735
0.049065024,2.7321997
1.5718614,2.2283883
-2.6282787,1.0433172
-1.6946805,-1.5072606
0.93430567,2.0841098
0.67118657,2.2178392
0.5620558,-2.3777182
2.3904078,-0.95976514
-0.9850318,-2.3502707
2.0049896,-1.6757168
-0.6564245,2.5308294
1.9223701,1.8105673
1.7523581,2.0154095
-1.3899307,2.5044718
2.5446305,0.003563732
-1.6753433,1.9566988
2.1578965,-1.7710059
-1.721024,2.263571
-2.2587833,1.6425685
2.0705855,-1.5302855
1.7912406,2.1301906
2.3650744,-1.3746893
-2.20279,-1.7186083
-2.2630255,0.9170108
1.5128059,-2.3198652
-2.2113628,1.5354983
-1.8593098,-1.6806247
2.3483365,0.45227888
-2.2099278,-1.0386372
-2.69816,0.20767874
0.8342221,-2.5447571
2.3389077,-0.76988906
1.9161421,1.6834986
2.340252,0.97962
2.541959,-1.3274997
-1.1861963,2.1452825
-1.3400369,2.1591463
0.7203235,-2.5029247
0.73067784,2.5755277
-2.0651433,1.3641764
0.94404966,-2.2173347
1.0155886,2.453872
-0.8938236,2.565072
-0.18513046,-2.431942
2.610464,-0.61053574
-0.2523979,-2.583136
-1.7657331,1.2291937
-1.4817718,-2.3003175
2.219709,1.2838315
-1.1093417,2.2622807
-2.5622559,0.60232204
0.87477016,2.0761817
-1.3640224,-2.0719867
2.105873,1.7357483
1.1472652,-2.5888824
-2.4581993,-0.41555357
-0.32701868,2.6329536
0.5913141,2.484737
-1.516596,2.3520854
1.1707795,-2.2140892
1.9874318,-1.6474105
2.3192217,0.088366404
-1.2751348,-2.3836148
1.5189838,-2.2892196
2.4930024,-0.89534795
2.4906938,-0.8358061
-2.7964454,-0.046670854
0.52372694,-2.657317
1.77204,2.2464957
-2.3747983,-1.3341963
-2.200158,1.5091577
-2.3180084,0.8874113
-0.16284616,-2.2217877
-1.9081978,1.8398843
-2.2970088,1.7167106
0.24931723,2.748964
0.7146881,-2.3483253
1.4217501,-2.2889495
