loss,step,goal_pred_acc
4.164529,0,0.05178702
3.9816341,1,0.0440468
4.1094193,2,0.04213695
4.1501513,3,0.05837387
4.1446705,4,0.050212163
4.3163915,5,0.033333335
4.2502027,6,0.037117906
4.250991,7,0.05925926
3.9482,8,0.07356154
3.913452,9,0.07178394
4.094255,10,0.030258302
3.9992929,11,0.068814054
4.2181497,12,0.058238637
4.052869,13,0.05382436
4.1344643,14,0.048882686
4.251014,15,0.040029112
4.094826,16,0.03806735
3.7757695,17,0.046263345
3.8912303,18,0.066867016
4.0272403,19,0.07545839
3.970485,20,0.03946389
4.072213,21,0.048148148
3.78269,22,0.059303187
4.1616845,23,0.055223882
3.939314,24,0.043571427
3.7807114,25,0.049497847
3.7838907,26,0.079353414
3.7858098,27,0.062767476
3.784477,28,0.055837564
3.840865,29,0.05672727
3.7140076,30,0.064270906
3.687834,31,0.04625088
3.554084,32,0.045918368
3.9806228,33,0.068563096
3.825526,34,0.03846154
3.4977279,35,0.05864885
3.6078668,36,0.065126054
3.9849808,37,0.05239521
3.55333,38,0.0484115
3.655716,39,0.044411544
3.597803,40,0.073426574
3.656678,41,0.04772902
3.55108,42,0.051575933
3.5097249,43,0.052975327
3.8162746,44,0.048708487
3.5713248,45,0.0681302
3.5067918,46,0.052783802
3.658624,47,0.06054131
3.550339,48,0.064836
3.3566046,49,0.043196544
3.3123043,50,0.052047193
3.281397,51,0.07703383
3.6007726,52,0.06690909
3.2593234,53,0.074074075
3.266865,54,0.09064748
3.22492,55,0.055007055
3.1511579,56,0.04824259
3.2325616,57,0.04529116
3.3264873,58,0.07217262
3.1136153,59,0.05143277
3.3219714,60,0.045655377
3.2967753,61,0.060266294
3.2080526,62,0.05774648
3.0445886,63,0.063435495
3.287309,64,0.083333336
3.2029777,65,0.06480118
3.0434327,66,0.06315789
3.1704142,67,0.062134504
3.2299821,68,0.058414467
3.044583,69,0.053701017
3.0744421,70,0.05842697
3.046051,71,0.06402227
2.9359596,72,0.06402878
2.9572337,73,0.07439199
3.077415,74,0.0615496
